a.;autor
a.c.;antes de Cristo
a.m.;antes do meio-dia
abc.;abecedário
abr.;abril
abrev.;abreviação
abs.;absoluto
absol.;absoluto
abstr.;abstrato
abus.;abusivamente
ac;acre
acad.;acadêmico
academ.;academicismo
acel.;acelerado
acus.;acusativo
acúst.;acústica
ad.;adiado
adapt.;adaptação
add;juntar
adit.;aditiva
adj.;adjetivo
adm.;administração
admir.;admiração
adv.;advérbio
Adv.;advocacia
advoc.;advocacia
aer.;aeronáutica
aet.;aetate, na idade de
aetat.;aetate, na idade de
af.o;afetuoso
afl.;afluente
afls.;afluentes
afor.;aforismo
afr.;africano
ag.;agosto
agl.;aglomerado
ago.;agosto
agpc;Agente de Polícia Civil
agr.;agrário
agr.;agora
agric.;agricultura
aj.;ajudante
al.;alameda
alf.;alfabeto
alg.;algarismo
álg.;álgebra
algar.;algarismo
algv.;algarvio
alm.;almanaque
alop.;alopatia
alp.;alpinismo
alt.;altitude
alter.;alteração
altit.;altitude
alus.;alusão
alv.;alvará
alven.;alvenaria
anál.;análise
anarq.;anarquismo
anat.;anatomia
anim.;animal
anôn.;anônimo
ant.;antigo(a)
antec.;antecedente
antig.;antigüidade
antiq.;antiquado
antôn.;antônimo
antrop.;antropologia
anu.;anuário
ap.;apartamento
apart.;apartamento
apênd.;apêndice
apl.;aplicado
aprox.;aproximadamente
aprox.;aproximativa
arg.;argentino
aritm.;aritmética
arm.;armamento
arq.;arquivo
arqueol.;arqueologia
arquip.;arquipélago
arquit.;arquitetura
arr;arroba
art.;artigo
artesan.;artesanato
artíst.;artístico
asp.;aspirante
assemb.;assembléia
assoc.;associação
astr.;astronomia
astrol.;astrologia
at.;ativo
ativ.;atividade
atl.;atletismo
atlt.;atletismo
atm.;atmosfera
atôm.;atômico
atr.;através
atual.;atualidade
atualid.;atualidade
atualm.;atualmente
aum.;aumentativo
aut.;automóvel
auto.;automóvel
autom.;automobilismo
aux.;auxiliar
av.;avenida
avc;acidente vascular cerebral
aven.;avenida
b.f.;boas-festas
bact.;bacteriologia
bacter.;bacteriologia
bal.;balanço
basq.;basquetebol
bat.;bateria
bíb.;bíblico
bíbl.;bíblia
bibliog.;bibliografia
bim.;bimensal
biol.;biologia
bm.;baixa-mar
bol.;boletim
bomb.;bombeiros
br.;brasileiro
bras.;brasileiro
brasil.;brasileiro
brig.;brigadeiro
btl.;batalhão
buroc.;burocracia
cad.;caderno
cal;caloria
cálc.;cálculo
calig.;caligrafia
câm.;câmara
cap.;capital
capac.;capacidade
capt.;capitão
categ.;categoria
centr.;central
cerv.;cerveja
cicl.;ciclismo
cid.;cidade
ciênc.;ciência
cient.;científico
