abv_abreviacao;abv_explicacao;pal_id
a.;autor;33104
a.c.;antes de Cristo;87549
a.m.;antes do meio-dia;201457
abc.;abecedário;629
abr.;abril;1797
abrev.;abreviação;1729
abs.;absoluto;1997
absol.;absoluto;1997
abstr.;abstrato;2105
abus.;abusivamente;2203
ac;acre;5066
acad.;acadêmico;2407
academ.;academicismo;2401
acel.;acelerado;3502
acus.;acusativo;5991
acúst.;acústica;6005
adapt.;adaptação;6154
add;juntar;179114
adit.;aditiva;6804
adj.;adjetivo;6854
adm.;administração;6908
admir.;admiração;6944
adv.;advérbio;7404
Adv.;advocacia;7434
advoc.;advocacia;7434
aer.;aeronáutica;7621
aet.;aetate, na idade de;165168
aetat.;aetate, na idade de;165168
af.o;afetuoso;7944
afl.;afluente;8096
afls.;afluentes;8097
afor.;aforismo;8171
afr.;africano;8243
ag.;agosto;9110
agl.;aglomerado;8912
ago.;agosto;9110
agpc;Agente de Polícia Civil;255538
agr.;agrário;9183
agr.;agora;9079
agric.;agricultura;9300
aj.;ajudante;10180
al.;alameda;10413
alf.;alfabeto;12057
alg.;algarismo;12485
álg.;álgebra;12528
algar.;algarismo;12485
alm.;almanaque;13371
alop.;alopatia;13934
alp.;alpinismo;14161
alt.;altitude;14551
alter.;alteração;14408
altit.;altitude;14551
alus.;alusão;14832
alv.;alvará;14905
alven.;alvenaria;14972
anál.;análise;18103
anarq.;anarquismo;18386
anat.;anatomia;18513
anim.;animal;20559
anôn.;anônimo;21103
ant.;antigo;22025
antec.;antecedente;21458
antig.;antigüidade;22043
antiq.;antiquado;22265
antôn.;antônimo;22569
antrop.;antropologia;22800
anu.;anuário;22902
ap.;apartamento;23300
apart.;apartamento;23300
apênd.;apêndice;23446
apl.;aplicado;23807
aprox.;aproximadamente;24738
arg.;argentino;26646
aritm.;aritmética;27125
arm.;armamento;27234
arq.;arquivo;27823
arqueol.;arqueologia;27638
arquip.;arquipélago;27739
arquit.;arquitetura;27797
art.;artigo;28916
artesan.;artesanato;28855
artíst.;artístico;28945
asp.;aspirante;29871
assemb.;assembléia;30071
assoc.;associação;30333
astr.;astronomia;30854
astrol.;astrologia;30814
at.;ativo;31531
ativ.;atividade;31515
atl.;atletismo;31557
atlt.;atletismo;31557
atm.;atmosfera;31570
atôm.;atômico;31630
atr.;através;31840
atual.;atualidade;32082
atualid.;atualidade;32082
atualm.;atualmente;32093
aum.;aumentativo;32380
aut.;automóvel;33057
auto.;automóvel;33057
autom.;automobilismo;33043
aux.;auxiliar;33254
av.;avenida;33537
avc;acidente vascular cerebral;4269
aven.;avenida;33537
b.f.;boas-festas;45212
bact.;bacteriologia;35062
bacter.;bacteriologia;35062
bal.;balanço;36121
basq.;basquetebol;38979
bíb.;bíblico;42418
bíbl.;bíblia;42409
bibliog.;bibliografia;42462
bim.;bimensal;43880
biol.;biologia;44104
bm.;baixa-mar;35957
bol.;boletim;46041
bomb.;bombeiros;46271
br.;brasileiro;48159
bras.;brasileiro;48159
brasil.;brasileiro;48159
brig.;brigadeiro;48687
btl.;batalhão;39147
buroc.;burocracia;50546
cad.;caderno;52534
cal;caloria;54395
cálc.;cálculo;53847
calig.;caligrafia;54181
câm.;câmara;54684
cap.;capital;58626
capac.;capacidade;57545
capt.;capitão;58650
categ.;categoria;63745
centr.;central;66402
cerv.;cerveja;67489
cicl.;ciclismo;70791
cid.;cidade;71113
ciênc.;ciência;71197
cient.;científico;71218
cin.;cinema;71886
círc.;círculo;72613
cirurg.;cirurgia;72842
clim.;climatologia;74214
clín.;clínica;74245
cód.;código;76038
cols.;colunas;77642
com.;comandante;77703
comb.;combustível;77840
combust.;combustível;77840
comerc.;comércio;77990
c.q.d.;como queria demonstrar;92805
comp.;comparativo;78272
compr.;comprimento;78651
compt.;computadores eletrônicos;78764
comte;comandante;77703
comunic.;comunicação;78806
conhec.;conhecimento;80289
cons.;conselheiro;80667
const.;constituição;80897
contab.;contabilidade;81047
contemp.;contemporâneo;81143
contr.;contra, em oposição;81308
corr.;correção;83856
créd.;crédito;86180
cruz.;cruzamento;88729
cult.;cultura;89457
cx.;caixa;53267
d.c.;depois de Cristo;87549
dag;decagrama;91658
dal;decalitro;91670
dam;decâmetro;91682
dec.;decreto;91970
decl.;declinação;91867
declin.;declinação;91867
decor.;decoração;91906
decr.;decreto;91970
def.;definido;92178
defin.;definição;92173
definit.;definitivo;92188
dem.;demonstrativo;92806
democ.;democrático;92718
democr.;democracia;92707
demonstr.;demonstrativo;92806
dens.;densidade;92960
dep.;departamento;93089
depto.;departamento;93089
